Bogføringsdato;Bilagsnr.;Eksternt bilagsnr.;Beskrivelse;;;Momsbeløb ;;Debet;;;Kredit;;Saldo
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-673,15
03-04-23;2046;;DK;;;0,00;;;;;240,00;;-913,15
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-1.033,15
03-04-23;2046;;DK;;;0,00;;;;;240,00;;-1.273,15
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-1.393,15
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-1.513,15
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-1.633,15
03-04-23;2046;;DK;;;0,00;;;;;240,00;;-1.873,15
03-04-23;2046;;DK;;;0,00;;;;;240,00;;-2.113,15
03-04-23;2046;;DK;;;0,00;;;;;240,00;;-2.353,15
03-04-23;2046;;DK;;;0,00;;;;;360,00;;-2.713,15
03-04-23;2046;;DK;;;0,00;;;;;100,00;;-2.813,15
03-04-23;2046;;DK;;;0,00;;;;;120,00;;-2.933,15
03-04-23;2046;;DK;;;0,00;;;;;300,00;;-3.233,15
03-04-23;2046;;DK;;;0,00;;;;;100,00;;-3.333,15
03-04-23;2046;;DK;;;0,00;;;;;100,00;;-3.433,15
03-04-23;2046;;DK;;;0,00;;;;;100,00;;-3.533,15
03-04-23;2046;;DK;;;0,00;;;;;100,00;;-3.633,15
03-04-23;2046;;DK;;;0,00;;;;;360,00;;-3.993,15
03-04-23;2046;;DK;;;0,00;;;;;585,00;;-4.578,15
04-04-23;101640;11342;Kundebetaling - Kundeordre CO000721;;;0,00;;150,00;;;;;-4.428,15
04-04-23;CPM000000015;;DK  6932134 11027        03 04;;;0,00;;;;;290,00;;-4.718,15
04-04-23;CPM000000016;;DK  6932134 11152        03 04;;;0,00;;120,00;;;;;-4.598,15
04-04-23;CPM000000017;;DK  6932134 11283        03 04;;;0,00;;;;;350,00;;-4.948,15
04-04-23;CPM000000018;;DK  6932134 11287        03 04;;;0,00;;;;;1.000,00;;-5.948,15
04-04-23;CPM000000019;;DK  6932134 11307        03 04;;;0,00;;;;;1.085,00;;-7.033,15
04-04-23;CPM000000020;;DK  6932134 11308        03 04;;;0,00;;;;;170,00;;-7.203,15
04-04-23;CPM000000021;;DK  6932134 11311        03 04;;;0,00;;;;;405,00;;-7.608,15
04-04-23;CPM000000022;;DK  6932134 11338        03 04;;;0,00;;;;;120,00;;-7.728,15
04-04-23;CPM000000023;;DK  6932134 11340        03 04;;;0,00;;;;;120,00;;-7.848,15
04-04-23;CPM000000024;;Nets 0178 8387763;;;0,00;;;;;290,00;;-8.138,15
04-04-23;CPM000000035;;Mobilpay;;;0,00;;;;;12.712,50;;-20.850,65
05-04-23;101643;11343;Kundebetaling - Kundeordre CO000722;;;0,00;;152,00;;;;;-20.698,65
05-04-23;CPM000000028;;Nets 0179 8387763;;;0,00;;;;;3.632,00;;-24.330,65
05-04-23;CPM000000032;;DK  6932134 11271        04 04;;;0,00;;200,00;;;;;-24.130,65
05-04-23;CPM000000033;;DK  6932134 11341        04 04;;;0,00;;;;;200,00;;-24.330,65
07-04-23;101647;11345;Kundebetaling - Kundeordre CO000724;;;0,00;;199,00;;;;;-24.131,65
07-04-23;101645;11344;Kundebetaling - Kundeordre CO000723;;;0,00;;545,00;;;;;-23.586,65
09-04-23;101650;11348;Kundebetaling - Kundeordre CO000727;;;0,00;;212,00;;;;;-23.374,65
09-04-23;101651;11349;Kundebetaling - Kundeordre CO000728;;;0,00;;360,00;;;;;-23.014,65
10-04-23;101653;11350;Kundebetaling - Kundeordre CO000729;;;0,00;;455,00;;;;;-22.559,65
10-04-23;101654;11351;Kundebetaling - Kundeordre CO000730;;;0,00;;174,00;;;;;-22.385,65
11-04-23;101656;11352;Kundebetaling - Kundeordre CO000732;;;0,00;;200,00;;;;;-22.185,65
11-04-23;101655;11353;Kundebetaling - Kundeordre CO000731;;;0,00;;200,00;;;;;-21.985,65
11-04-23;101657;11354;Kundebetaling - Kundeordre CO000733;;;0,00;;200,00;;;;;-21.785,65
11-04-23;101660;11355;Kundebetaling - Kundeordre CO000734;;;0,00;;200,00;;;;;-21.585,65
11-04-23;CPM000000101;;DK  6932134 11191        10 04;;;0,00;;;;;600,00;;-22.185,65
11-04-23;CPM000000102;;DK  6932134 11266        10 04;;;0,00;;;;;500,00;;-22.685,65
11-04-23;CPM000000103;;DK  6932134 11268        10 04;;;0,00;;;;;40,00;;-22.725,65
11-04-23;CPM000000104;;DK  6932134 11286        10 04;;;0,00;;;;;400,00;;-23.125,65
11-04-23;CPM000000105;;DK  6932134 11295        10 04;;;0,00;;;;;350,00;;-23.475,65
11-04-23;CPM000000106;;DK  6932134 11345        10 04;;;0,00;;;;;199,00;;-23.674,65
11-04-23;CPM000000107;;DK  6932134 11348        10 04;;;0,00;;;;;212,00;;-23.886,65
11-04-23;CPM000000108;;DK  6932134 11349        10 04;;;0,00;;;;;360,00;;-24.246,65
12-04-23;101663;11356;Kundebetaling - Kundeordre CO000735;;;0,00;;100,00;;;;;-24.146,65
12-04-23;CPM000000064;;Nets;;;0,00;;;;;150,00;;-24.296,65
12-04-23;CPM000000069;;DK  6932134 11350        11 04;;;0,00;;;;;455,00;;-24.751,65
12-04-23;CPM000000070;;DK  6932134 11352        11 04;;;0,00;;;;;200,00;;-24.951,65
12-04-23;CPM000000071;;DK  6932134 11353        11 04;;;0,00;;;;;200,00;;-25.151,65
12-04-23;CPM000000072;;DK  6932134 11354        11 04;;;0,00;;;;;200,00;;-25.351,65
12-04-23;CPM000000064;;Nets;;;0,00;;150,00;;;;;-25.201,65
12-04-23;CPM000000064;;Nets;;;0,00;;;;;150,00;;-25.351,65
13-04-23;101668;11357;Kundebetaling - Kundeordre CO000736;;;0,00;;200,00;;;;;-25.151,65
13-04-23;CPM000000077;;Nets;;;0,00;;;;;1.660,00;;-26.811,65
13-04-23;CPM000000067;;DK  6932134 11343        12 04;;;0,00;;;;;152,00;;-26.963,65
13-04-23;CPM000000068;;DK  6932134 11351        12 04;;;0,00;;;;;174,00;;-27.137,65
13-04-23;CPM000000069;;DK  6932134 11355        12 04;;;0,00;;;;;200,00;;-27.337,65
13-04-23;CPM000000070;;DK  6932134 11356        12 04;;;0,00;;;;;100,00;;-27.437,65
13-04-23;CPM000000065;;Nets;;;0,00;;1.660,00;;;;;-25.777,65
13-04-23;CPM000000065;;Nets;;;0,00;;;;;1.660,00;;-27.437,65
14-04-23;101675;11358;Kundebetaling - Kundeordre CO000737;;;0,00;;200,00;;;;;-27.237,65
15-04-23;101676;11359;Kundebetaling - Kundeordre CO000738;;;0,00;;100,00;;;;;-27.137,65
16-04-23;101678;11360;Kundebetaling - Kundeordre CO000739;;;0,00;;200,00;;;;;-26.937,65
17-04-23;101683;11361;Kundebetaling - Kundeordre CO000740;;;0,00;;100,00;;;;;-26.837,65
17-04-23;101685;11362;Kundebetaling - Kundeordre CO000741;;;0,00;;200,00;;;;;-26.637,65
17-04-23;CPM000000084;;DK  6932134 11357        14 04;;;0,00;;;;;200,00;;-26.837,65
18-04-23;101691;11363;Kundebetaling - Kundeordre CO000742;;;0,00;;100,00;;;;;-26.737,65
18-04-23;2055;;dk;;;0,00;;;;;200,00;;-26.937,65
18-04-23;2055;;dk;;;0,00;;;;;100,00;;-27.037,65
18-04-23;2055;;dk;;;0,00;;;;;200,00;;-27.237,65
19-04-23;101692;11364;Kundebetaling - Kundeordre CO000743;;;0,00;;300,00;;;;;-26.937,65
19-04-23;101693;11365;Kundebetaling - Kundeordre CO000744;;;0,00;;1.000,00;;;;;-25.937,65
19-04-23;2064;;Dk;;;0,00;;;;;200,00;;-26.137,65
19-04-23;2064;;Dk;;;0,00;;;;;100,00;;-26.237,65
19-04-23;2064;;Dk;;;0,00;;;;;800,00;;-27.037,65
20-04-23;101705;11368;Kundebetaling - Kundeordre CO000746;;;0,00;;200,00;;;;;-26.837,65
20-04-23;CPM000000079;;DK  6932134 11364        19 04;;;0,00;;;;;300,00;;-27.137,65
21-04-23;101712;11371;Kundebetaling - Kundeordre CO000748;;;0,00;;350,00;;;;;-26.787,65
21-04-23;101713;11370;Kundebetaling - Kundeordre CO000749;;;0,00;;300,00;;;;;-26.487,65
22-04-23;101716;11374;Kundebetaling - Kundeordre CO000752;;;0,00;;382,00;;;;;-26.105,65
22-04-23;101717;11376;Kundebetaling - Kundeordre CO000753;;;0,00;;155,00;;;;;-25.950,65
23-04-23;101718;11377;Kundebetaling - Kundeordre CO000754;;;0,00;;100,00;;;;;-25.850,65
23-04-23;101719;11378;Kundebetaling - Kundeordre CO000755;;;0,00;;345,00;;;;;-25.505,65
24-04-23;101721;11379;Kundebetaling - Kundeordre CO000756;;;0,00;;30,00;;;;;-25.475,65
24-04-23;101727;11380;Kundebetaling - Kundeordre CO000757;;;0,00;;215,00;;;;;-25.260,65
25-04-23;101728;11381;Kundebetaling - Kundeordre CO000758;;;0,00;;100,00;;;;;-25.160,65
25-04-23;101729;11383;Kundebetaling - Kundeordre CO000759;;;0,00;;500,00;;;;;-24.660,65
25-04-23;101730;11384;Kundebetaling - Kundeordre CO000760;;;0,00;;800,00;;;;;-23.860,65
25-04-23;101731;11385;Kundebetaling - Kundeordre CO000761;;;0,00;;560,00;;;;;-23.300,65
25-04-23;101739;11387;Kundebetaling - Kundeordre CO000763;;;0,00;;400,00;;;;;-22.900,65
25-04-23;101732;11386;Kundebetaling - Kundeordre CO000762;;;0,00;;600,00;;;;;-22.300,65
25-04-23;101740;11388;Kundebetaling - Kundeordre CO000764;;;0,00;;917,00;;;;;-21.383,65
25-04-23;101741;11389;Kundebetaling - Kundeordre CO000765;;;0,00;;100,00;;;;;-21.283,65
26-04-23;101742;11390;Kundebetaling - Kundeordre CO000766;;;0,00;;100,00;;;;;-21.183,65
27-04-23;101746;11391;Kundebetaling - Kundeordre CO000767;;;0,00;;90,00;;;;;-21.093,65
29-04-23;101753;11393;Kundebetaling - Kundeordre CO000768;;;0,00;;485,00;;;;;-20.608,65
29-04-23;101754;11394;Kundebetaling - Kundeordre CO000769;;;0,00;;500,00;;;;;-20.108,65
29-04-23;101755;11395;Kundebetaling - Kundeordre CO000770;;;0,00;;300,00;;;;;-19.808,65
30-04-23;101756;11396;Kundebetaling - Kundeordre CO000771;;;0,00;;950,00;;;;;-18.858,65
30-04-23;101757;11397;Kundebetaling - Kundeordre CO000772;;;0,00;;360,00;;;;;-18.498,65
01-05-23;101758;11398;Kundebetaling - Kundeordre CO000773;;;0,00;;1.000,00;;;;;-17.498,65
01-05-23;101763;11401;Kundebetaling - Kundeordre CO000776;;;0,00;;225,00;;;;;-17.273,65
01-05-23;101759;11399;Kundebetaling - Kundeordre CO000774;;;0,00;;190,00;;;;;-17.083,65
02-05-23;101765;11403;Kundebetaling - Kundeordre CO000778;;;0,00;;300,00;;;;;-16.783,65
02-05-23;101764;11402;Kundebetaling - Kundeordre CO000777;;;0,00;;400,00;;;;;-16.383,65
02-05-23;101766;11404;Kundebetaling - Kundeordre CO000779;;;0,00;;860,00;;;;;-15.523,65
02-05-23;101780;11409;Kundebetaling - Kundeordre CO000783;;;0,00;;660,00;;;;;-14.863,65
02-05-23;101778;11407;Kundebetaling - Kundeordre CO000781;;;0,00;;240,00;;;;;-14.623,65
02-05-23;CPM000000112;;Nets 0185 8387763;;;0,00;;;;;90,00;;-14.713,65
02-05-23;CPM000000125;;DK  6932134 11370        01 05;;;0,00;;;;;300,00;;-15.013,65
02-05-23;CPM000000126;;DK  6932134 11393        01 05;;;0,00;;;;;485,00;;-15.498,65
02-05-23;CPM000000127;;DK  6932134 11394        01 05;;;0,00;;;;;500,00;;-15.998,65
02-05-23;CPM000000128;;DK  6932134 11396        01 05;;;0,00;;950,00;;;;;-15.048,65
02-05-23;CPM000000129;;DK  6932134 11396        01 05;;;0,00;;;;;950,00;;-15.998,65
02-05-23;CPM000000130;;DK  6932134 11397        01 05;;;0,00;;;;;360,00;;-16.358,65
02-05-23;CPM000000131;;DK  6932134 11398        01 05;;;0,00;;;;;1.000,00;;-17.358,65
03-05-23;101781;11410;Kundebetaling - Kundeordre CO000784;;;0,00;;500,00;;;;;-16.858,65
03-05-23;101785;11411;Kundebetaling - Kundeordre CO000785;;;0,00;;385,00;;;;;-16.473,65
03-05-23;CPM000000133;;Nets 0186 8387763;;;0,00;;;;;300,00;;-16.773,65
03-05-23;CPM000000142;;DK  6932134 11209        02 05;;;0,00;;55,00;;;;;-16.718,65
03-05-23;CPM000000143;;DK  6932134 11402        02 05;;;0,00;;;;;400,00;;-17.118,65
03-05-23;CPM000000144;;DK  6932134 11403        02 05;;;0,00;;;;;300,00;;-17.418,65
04-05-23;101787;11414;Kundebetaling - Kundeordre CO000786;;;0,00;;299,00;;;;;-17.119,65
04-05-23;101789;11415;Kundebetaling - Kundeordre CO000788;;;0,00;;1.196,00;;;;;-15.923,65
04-05-23;101790;11416;Kundebetaling - Kundeordre CO000789;;;0,00;;598,00;;;;;-15.325,65
04-05-23;101788;11417;Kundebetaling - Kundeordre CO000787;;;0,00;;598,00;;;;;-14.727,65
04-05-23;101798;11419;Kundebetaling - Kundeordre CO000790;;;0,00;;299,00;;;;;-14.428,65
04-05-23;101799;11420;Kundebetaling - Kundeordre CO000791;;;0,00;;598,00;;;;;-13.830,65
04-05-23;101801;11422;Kundebetaling - Kundeordre CO000793;;;0,00;;598,00;;;;;-13.232,65
04-05-23;101802;11423;Kundebetaling - Kundeordre CO000794;;;0,00;;598,00;;;;;-12.634,65
04-05-23;101800;11421;Kundebetaling - Kundeordre CO000792;;;0,00;;500,00;;;;;-12.134,65
04-05-23;CPM000000099;;DK  6932134 11399        03 05;;;0,00;;;;;190,00;;-12.324,65
04-05-23;CPM000000100;;DK  6932134 11409        03 05;;;0,00;;;;;660,00;;-12.984,65
05-05-23;101803;11424;Kundebetaling - Kundeordre CO000795;;;0,00;;299,00;;;;;-12.685,65
05-05-23;101804;11425;Kundebetaling - Kundeordre CO000796;;;0,00;;598,00;;;;;-12.087,65
05-05-23;101805;11426;Kundebetaling - Kundeordre CO000797;;;0,00;;598,00;;;;;-11.489,65
05-05-23;101807;11427;Kundebetaling - Kundeordre CO000799;;;0,00;;299,00;;;;;-11.190,65
05-05-23;101808;11429;Kundebetaling - Kundeordre CO000800;;;0,00;;598,00;;;;;-10.592,65
05-05-23;101809;11430;Kundebetaling - Kundeordre CO000801;;;0,00;;598,00;;;;;-9.994,65
05-05-23;101811;11431;Kundebetaling - Kundeordre CO000803;;;0,00;;598,00;;;;;-9.396,65
05-05-23;101810;11432;Kundebetaling - Kundeordre CO000802;;;0,00;;598,00;;;;;-8.798,65
05-05-23;101815;11436;Kundebetaling - Kundeordre CO000807;;;0,00;;598,00;;;;;-8.200,65
05-05-23;101816;11437;Kundebetaling - Kundeordre CO000808;;;0,00;;598,00;;;;;-7.602,65
05-05-23;101814;11438;Kundebetaling - Kundeordre CO000806;;;0,00;;299,00;;;;;-7.303,65
05-05-23;101819;11441;Kundebetaling - Kundeordre CO000811;;;0,00;;1.196,00;;;;;-6.107,65
05-05-23;101820;11442;Kundebetaling - Kundeordre CO000812;;;0,00;;1.196,00;;;;;-4.911,65
05-05-23;101821;11443;Kundebetaling - Kundeordre CO000813;;;0,00;;598,00;;;;;-4.313,65
05-05-23;101822;11444;Kundebetaling - Kundeordre CO000814;;;0,00;;299,00;;;;;-4.014,65
05-05-23;101823;11445;Kundebetaling - Kundeordre CO000815;;;0,00;;598,00;;;;;-3.416,65
05-05-23;101826;11446;Kundebetaling - Kundeordre CO000816;;;0,00;;598,00;;;;;-2.818,65
05-05-23;101827;11447;Kundebetaling - Kundeordre CO000817;;;0,00;;1.794,00;;;;;-1.024,65
06-05-23;101828;11448;Kundebetaling - Kundeordre CO000818;;;0,00;;598,00;;;;;-426,65
06-05-23;101829;11452;Kundebetaling - Kundeordre CO000819;;;0,00;;897,00;;;;;470,35
06-05-23;101830;11453;Kundebetaling - Kundeordre CO000820;;;0,00;;299,00;;;;;769,35
06-05-23;101831;11454;Kundebetaling - Kundeordre CO000821;;;0,00;;598,00;;;;;1.367,35
06-05-23;101832;11455;Kundebetaling - Kundeordre CO000822;;;0,00;;598,00;;;;;1.965,35
06-05-23;101833;11456;Kundebetaling - Kundeordre CO000823;;;0,00;;299,00;;;;;2.264,35
06-05-23;101834;11457;Kundebetaling - Kundeordre CO000824;;;0,00;;598,00;;;;;2.862,35
06-05-23;101835;11458;Kundebetaling - Kundeordre CO000825;;;0,00;;598,00;;;;;3.460,35
07-05-23;101836;11459;Kundebetaling - Kundeordre CO000826;;;0,00;;598,00;;;;;4.058,35
07-05-23;101837;11460;Kundebetaling - Kundeordre CO000827;;;0,00;;598,00;;;;;4.656,35
07-05-23;101838;11461;Kundebetaling - Kundeordre CO000828;;;0,00;;598,00;;;;;5.254,35
07-05-23;101839;11462;Kundebetaling - Kundeordre CO000829;;;0,00;;598,00;;;;;5.852,35
07-05-23;101840;11463;Kundebetaling - Kundeordre CO000830;;;0,00;;598,00;;;;;6.450,35
07-05-23;101841;11464;Kundebetaling - Kundeordre CO000831;;;0,00;;299,00;;;;;6.749,35
07-05-23;101842;11465;Kundebetaling - Kundeordre CO000832;;;0,00;;1.495,00;;;;;8.244,35
07-05-23;101843;11466;Kundebetaling - Kundeordre CO000833;;;0,00;;598,00;;;;;8.842,35
07-05-23;101844;11468;Kundebetaling - Kundeordre CO000834;;;0,00;;1.196,00;;;;;10.038,35
07-05-23;101845;11469;Kundebetaling - Kundeordre CO000835;;;0,00;;1.060,00;;;;;11.098,35
08-05-23;101846;11470;Kundebetaling - Kundeordre CO000836;;;0,00;;598,00;;;;;11.696,35
08-05-23;101849;11472;Kundebetaling - Kundeordre CO000839;;;0,00;;598,00;;;;;12.294,35
08-05-23;101848;11473;Kundebetaling - Kundeordre CO000838;;;0,00;;598,00;;;;;12.892,35
08-05-23;101854;11474;Kundebetaling - Kundeordre CO000840;;;0,00;;80,00;;;;;12.972,35
08-05-23;CPM000000167;;DK  6932134 11410        04 05;;;0,00;;;;;500,00;;12.472,35
08-05-23;CPM000000168;;DK  6932134 11411        04 05;;;0,00;;;;;385,00;;12.087,35
08-05-23;CPM000000207;;DK  6932134 11414        05 05;;;0,00;;;;;299,00;;11.788,35
08-05-23;CPM000000208;;DK  6932134 11415        05 05;;;0,00;;;;;1.196,00;;10.592,35
08-05-23;CPM000000209;;DK  6932134 11416        05 05;;;0,00;;;;;598,00;;9.994,35
08-05-23;CPM000000210;;DK  6932134 11417        05 05;;;0,00;;;;;598,00;;9.396,35
08-05-23;CPM000000211;;DK  6932134 11419        05 05;;;0,00;;;;;299,00;;9.097,35
08-05-23;CPM000000212;;DK  6932134 11420        05 05;;;0,00;;;;;598,00;;8.499,35
08-05-23;CPM000000213;;DK  6932134 11421        05 05;;;0,00;;;;;500,00;;7.999,35
08-05-23;CPM000000214;;DK  6932134 11423        05 05;;;0,00;;;;;598,00;;7.401,35
08-05-23;CPM000000215;;DK  6932134 11424        05 05;;;0,00;;;;;299,00;;7.102,35
08-05-23;CPM000000216;;DK  6932134 11425        05 05;;;0,00;;;;;598,00;;6.504,35
08-05-23;CPM000000217;;DK  6932134 11426        05 05;;;0,00;;;;;598,00;;5.906,35
08-05-23;CPM000000218;;DK  6932134 11429        05 05;;;0,00;;;;;598,00;;5.308,35
08-05-23;CPM000000219;;DK  6932134 11430        05 05;;;0,00;;;;;598,00;;4.710,35
08-05-23;CPM000000220;;DK  6932134 11431        05 05;;;0,00;;;;;598,00;;4.112,35
08-05-23;CPM000000221;;DK  6932134 11432        05 05;;;0,00;;;;;598,00;;3.514,35
08-05-23;CPM000000222;;DK  6932134 11436        05 05;;;0,00;;;;;598,00;;2.916,35
08-05-23;CPM000000223;;DK  6932134 11437        05 05;;;0,00;;;;;598,00;;2.318,35
08-05-23;CPM000000224;;DK  6932134 11438        05 05;;;0,00;;;;;299,00;;2.019,35
09-05-23;101855;11476;Kundebetaling - Kundeordre CO000841;;;0,00;;1.794,00;;;;;3.813,35
09-05-23;101856;11477;Kundebetaling - Kundeordre CO000842;;;0,00;;598,00;;;;;4.411,35
09-05-23;101857;11478;Kundebetaling - Kundeordre CO000843;;;0,00;;598,00;;;;;5.009,35
09-05-23;101860;11479;Kundebetaling - Kundeordre CO000844;;;0,00;;598,00;;;;;5.607,35
09-05-23;101861;11480;Kundebetaling - Kundeordre CO000845;;;0,00;;188,00;;;;;5.795,35
10-05-23;101862;11481;Kundebetaling - Kundeordre CO000846;;;0,00;;360,00;;;;;6.155,35
10-05-23;101863;11482;Kundebetaling - Kundeordre CO000847;;;0,00;;1.000,00;;;;;7.155,35
10-05-23;101864;11484;Kundebetaling - Kundeordre CO000848;;;0,00;;500,00;;;;;7.655,35
10-05-23;101865;11485;Kundebetaling - Kundeordre CO000849;;;0,00;;1.196,00;;;;;8.851,35
10-05-23;101872;11488;Kundebetaling - Kundeordre CO000850;;;0,00;;299,00;;;;;9.150,35
10-05-23;101873;11489;Kundebetaling - Kundeordre CO000851;;;0,00;;405,00;;;;;9.555,35
10-05-23;101875;11491;Kundebetaling - Kundeordre CO000853;;;0,00;;100,00;;;;;9.655,35
10-05-23;101876;11492;Kundebetaling - Kundeordre CO000854;;;0,00;;598,00;;;;;10.253,35
10-05-23;101877;11493;Kundebetaling - Kundeordre CO000855;;;0,00;;205,00;;;;;10.458,35
10-05-23;101874;11490;Kundebetaling - Kundeordre CO000852;;;0,00;;960,00;;;;;11.418,35
11-05-23;101878;11494;Kundebetaling - Kundeordre CO000856;;;0,00;;449,00;;;;;11.867,35
11-05-23;101879;11495;Kundebetaling - Kundeordre CO000857;;;0,00;;500,00;;;;;12.367,35
11-05-23;101883;11496;Kundebetaling - Kundeordre CO000858;;;0,00;;108,00;;;;;12.475,35
12-05-23;101885;11498;Kundebetaling - Kundeordre CO000860;;;0,00;;500,00;;;;;12.975,35
13-05-23;101893;11499;Kundebetaling - Kundeordre CO000861;;;0,00;;685,00;;;;;13.660,35
14-05-23;101894;11500;Kundebetaling - Kundeordre CO000862;;;0,00;;37,50;;;;;13.697,85
14-05-23;101895;11501;Kundebetaling - Kundeordre CO000863;;;0,00;;200,00;;;;;13.897,85
14-05-23;101897;11502;Kundebetaling - Kundeordre CO000864;;;0,00;;760,00;;;;;14.657,85
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;